"beer_name","beer_style"
"Sausa Weizen","Hefeweizen"
"Red Moon","English Strong Ale"
"Black Horse Black Beer","Foreign / Export Stout"
"Sausa Pils","German Pilsener"
"Cauldron DIPA","American Double / Imperial IPA"
"Caldera Ginger Beer","Herbed / Spiced Beer"
"Amstel Light","Light Lager"
"Caldera Oatmeal Stout","Oatmeal Stout"
"Caldera OBF 15","American Pale Lager"
"Rauch Ür Bock","Rauchbier"
"Caldera Pale Ale","American Pale Ale (APA)"
"Pilot Rock Porter","American Porter"
"Vas Deferens Ale","Belgian Strong Dark Ale"
"Caldera IPA","American IPA"
"Cauldron Espresso Stout","American Stout"
"Old Growth Imperial Stout","Russian Imperial Stout"
"Dry Hop Red","American Amber / Red Ale"
"Southside Strong","American Strong Ale"
"Caldera Märzen","Märzen / Oktoberfest"
"Lawnmower Lager","American Adjunct Lager"
"Caldera Rose Petal (Kettle Series)","American Blonde Ale"
"Amstel Bright","Euro Pale Lager"
"Nut Brown","English Brown Ale"
"The Captain's Porter","American Porter"
"The Highland Stagger","Scotch Ale / Wee Heavy"
"Swamp Fox IPA","American IPA"
"Hoppin' To Heaven IPA","American IPA"
"Hopportunity Knocks","American IPA"
"Ashland Amber","American Amber / Red Ale"
"Coconut Porter","American Porter"
"Dry Hop Orange","American Amber / Red Ale"
"Kirner Pils Premium","German Pilsener"
"Alpha Beta","American IPA"
"Caldera Pilsener Bier","German Pilsener"
"Hibiscus Ginger Beer","Fruit / Vegetable Beer"
"Exotic Erotic Passion Fruit Ale","Fruit / Vegetable Beer"
"Barrel Aged B.O.R.I.S. Oatmeal Imperial Stout","Russian Imperial Stout"
"Imperial Stout","American Double / Imperial Stout"
"Cauldron Brew","American Strong Ale"
"Inspiration Ale","Belgian Pale Ale"
"Hop Hash","American Pale Ale (APA)"
"Mogli","American Porter"
"Welsh Pride","English Bitter"
"Welsh Honey Bitter","English Bitter"
"Telford Porter","English Porter"
"Celebration Ale","English Bitter"
"Honey Fayre","English Bitter"
"Holiday Imperial","American Double / Imperial IPA"
"Columbus India Pale Ale","American IPA"
"Holiday XXII Imperial Blue","American Strong Ale"
"Luck O' The Irish","Irish Dry Stout"
"Old Oakland Ale","English Strong Ale"
"Yellowjacket Ale","American Blonde Ale"
"Megalodon","American Strong Ale"
"Code Blue","American Barleywine"
"Orca Porter","American Porter"
"Leviathan Imperial Stout","American Double / Imperial Stout"
"Mt. Takhoma Blonde Ale","American Blonde Ale"
"Holiday Trappist Style Ale","Belgian Strong Pale Ale"
"Deviator Doppelbock","Doppelbock"
"Blue Whale Ale","American Amber / Red Ale"
"Grey Whale Ale","American Pale Ale (APA)"
"Killer Whale Stout","American Stout"
"Emerald Ale","American Amber / Red Ale"
"Schinderhannes Bock","Maibock / Helles Bock"
"City Razz","Fruit / Vegetable Beer"
"City Light","Light Lager"
"City Pale Ale","American Pale Ale (APA)"
"City Stout","American Stout"
"City Pumpkin","Pumpkin Ale"
"City Amber","American Amber / Red Ale"
"Amstel Gold","Dortmunder / Export Lager"
"Amstel Sterk (Strong)","Euro Strong Lager"
"Amstel Oud Bruin","Euro Dark Lager"
"Amstel Malt","Low Alcohol Beer"
"St. Stephen's Bock","Weizenbock"
"North Beach Ale","American Pale Ale (APA)"
"Hefeweizen","Hefeweizen"
"Ballz Deep Double IPA","American Double / Imperial IPA"
"Pacific Pilsner","American Pale Lager"
"Amstel (Pure Filtered)","Euro Pale Lager"
"Amstel Lentebock","Maibock / Helles Bock"
"Amstel Lager","Euro Pale Lager"
"Hop Project #35","American IPA"
"Brown's Point ESB","Extra Special / Strong Bitter (ESB)"
"Amstel 1870","German Pilsener"
"Amstel Bock","Bock"
"Viven Porter","American Porter"
"Amber IPA","English India Pale Ale (IPA)"
"Original Lager","Euro Pale Lager"
"Red Alt Ale","Altbier"
"Gosch","Kölsch"
"Kollers Naturtrüb Dunkel","Munich Dunkel Lager"
"Kollers Naturtrüb Hell","German Pilsener"
"Holiday Ale","Herbed / Spiced Beer"
"Pumpkin Ale","Pumpkin Ale"
"Dry Stout","American Stout"
"Newark IPA","American IPA"
"Red Rye Ale","Rye Beer"
"Wheat Ale","American Pale Wheat Ale"
"Pale Ale","American Pale Ale (APA)"
"Harboe Bjørnebryg (Bear Beer)","Euro Pale Lager"
"Sweet Stout","Milk / Sweet Stout"
"IPA","American IPA"
"Nobu Special Reserve","Euro Pale Lager"
"Harboe Silver Beer 3,5%","Euro Pale Lager"
"Harboe Den Glada Danskens Lättöl","Low Alcohol Beer"
"Harboe Pilsner 2,8%","Euro Pale Lager"
"Harboe Bjørnebryg Extra Stark (Bear Beer Extra Strong)","Euro Strong Lager"
"Harboe Kräftöl","Euro Pale Lager"
"Netto \"24\" Fødselsdags-Bryg","Euro Strong Lager"
"Harboe Påskebryg 2,8%","Euro Pale Lager"
"Harbroe Classic Beer 2,8%","Euro Pale Lager"
"Harboe Pilsner 3,5%","Euro Pale Lager"
"Harboe Classic 110","Euro Pale Lager"
"Skælskør Original Black","Schwarzbier"
"Harboe Dunkel","Munich Dunkel Lager"
"De 5 Gaarde Falle Høstbryg","Vienna Lager"
"Harboe Julebryg","Euro Pale Lager"
"Christian Firtal Guldøl","Euro Pale Lager"
"Harboe Årgangssbryg","Euro Strong Lager"
"Harboe Bjørnebryg 2,8%","Euro Pale Lager"
"Christian Firtal","Euro Pale Lager"
"Harboe Bear Beer Premium Strong Beer","Euro Strong Lager"
"Harboe Premium Traditional Pilsner 4.6%","Euro Pale Lager"
"Harboe Red Beer","American Amber / Red Lager"
"Harboe Vib Pilsner Classic Landlord","Euro Pale Lager"
"Dansk Pilsner","Euro Pale Lager"
"Harboe Vib Pilsner Håndbajer","Euro Pale Lager"
"Harboe Sommarbrygg","Euro Pale Lager"
"Harboe Guldøl (Harboe Beer Gold)","Euro Pale Lager"
"Harboe Pilsner","Euro Pale Lager"
"Harboe Classic 2,8%","Euro Pale Lager"
"Amarillo Lager","American Amber / Red Lager"
"Replic Ale","Scottish Ale"
"Wheat Beer","Witbier"
"Oktoberfest","Märzen / Oktoberfest"
"Black IPA","American Black Ale"
"Winter Wheat","Saison / Farmhouse Ale"
"Broad Ripple Diving Duck American Brown Ale","English Brown Ale"
"Broad Ripple Stout","American Stout"
"Limping Mallard","English Strong Ale"
"Bigger Boy's Beer","English Strong Ale"
"Extra Pale Ale","American Pale Ale (APA)"
"Monon Porter","American Porter"
"Marzen","Märzen / Oktoberfest"
"I.P.A.","American IPA"
"Jack Daniels Barrel Aged Porter","American Porter"
"Broad Ripple Ankle Biter 2003","English Barleywine"
"Sparky's Chocolate Milk Stout","Milk / Sweet Stout"
"Red Bird Mild","English Dark Mild Ale"
"Broad Ripple Evilsizors Russian Imperial Stout","Russian Imperial Stout"
"Hefe Weizen","Hefeweizen"
"Pilsner","German Pilsener"
"Ankle Biter Ale \"06","English Barleywine"
"Ankle Biter Ale '07","English Barleywine"
"Amarillo Single Hop Pale Ale","American Pale Ale (APA)"
"Hopcicle Double IPA","American Double / Imperial IPA"
"Apple Chucker","Fruit / Vegetable Beer"
"Ackerman's Imperial Double Stout (Winterfest Replicale 2011)","American Double / Imperial Stout"
"Kölsch","Kölsch"
"Porter","American Porter"
"E.S.B.","Extra Special / Strong Bitter (ESB)"
"Ackerman's Imperial Double Stout (Indiana Replicale 2011)","American Double / Imperial Stout"
"T.J.'s Best Bitter","English Bitter"
"Replic Ale (2010)","Schwarzbier"
"California Common","California Common / Steam Beer"
"Finneen's Auld Sod Stout","Irish Dry Stout"
"Broad Ripple Lawnmower Pale Ale","American Pale Ale (APA)"
"Bernard Nefiltrovaný (unfiltered)","Czech Pilsener"
"2001 - A Stout Odyssey","American Double / Imperial Stout"
"Herr Kevin's Alt Bier","Altbier"
"Black Heart Lager","Euro Dark Lager"
"Wee Alec Heavy","Scotch Ale / Wee Heavy"
"Lawn Mower Pale Ale","English Pale Ale"
"Bjava Porter","American Porter"
"Dual Citizenship Ale","American Pale Ale (APA)"
"15th Anniversary","English Pale Ale"
"Farmhouse Ale","Saison / Farmhouse Ale"
"Centennial Pale Ale","American Pale Ale (APA)"
"Wobbly Bob APA","American Pale Ale (APA)"
"Broad Ripple Ankle Biter 2004","English Barleywine"
"Georgia Belgique","Belgian IPA"
"Wild Wacky Wit","Witbier"
"Apparition Ale Cask With Sovereign Hops","English Bitter"
"Six Degrees Belgian Golden Ale","Belgian Strong Pale Ale"
"X-Extra Pale Ale","American Pale Ale (APA)"
"Goin' Monk","Belgian Pale Ale"
"Ogeechee Amber Ale","American Amber / Red Ale"
"Rosemary IPA","American IPA"
"Bay Street Brown Ale","English Brown Ale"
"Moon Dance Pale Ale","English Pale Ale"
"Slow-Vannah Pale Ale","American Pale Ale (APA)"
"Oatboy Imperial IPA","American Double / Imperial IPA"
"Wheezy Heifer","Hefeweizen"
"Hefe-Weizen","Hefeweizen"
"Six Degrees Belgian Golden Ale Cask With Cardamom And Lemongrass","Belgian Strong Pale Ale"
"Oak-Aged Black River Imperial Stout","American Double / Imperial Stout"
"Dixie Crystal Beer","Tripel"
"The Bomb-Dry Stout","Irish Dry Stout"
"Slow-Vannah Pale Ale Cask With Citra Hops","American Pale Ale (APA)"
"Skunk-Ape Stout","Irish Dry Stout"
"Peachy Sour Brown Ale","Fruit / Vegetable Beer"
"Honey Bock","Maibock / Helles Bock"
"Claire De Lune","Kölsch"
"Galleria Espresso Stout","American Stout"
"Mai-Rye-Bock","Rye Beer"
"Amarillo On My Mind","American Pale Ale (APA)"
"Special Reserve Oud Bruin","Flanders Oud Bruin"
"Savannah Fest Beer","Märzen / Oktoberfest"
"Apparition Ale Cask With Fuggles Hops","English Bitter"
"Apparition Ale","English Bitter"
"Black River Imperial Stout","Russian Imperial Stout"
"Wee Beast (Cuillin Beast)","Scotch Ale / Wee Heavy"
"The Rod \"winter\" Stout","American Stout"
"Moon Light","Czech Pilsener"
"Little Chocolate Doughnuts","American Porter"
"Houblon Wit","Witbier"
"The Tater Ale","Fruit / Vegetable Beer"
"Viven Imperial IPA","American Double / Imperial IPA"
"Nick's Balls Of Gold","American IPA"
"Gene's American Brown Ale","American Brown Ale"
"Lemke Pils","German Pilsener"
"Kringle Krack","Winter Warmer"
"Founders Cerise","Fruit / Vegetable Beer"
