Var,Catkey,Val
5,024-CRA,100
5,024-CRA,93
9,029-CRA,85
9,029-CRA,104
9,029-CRA,103
9,029-CRA,75
9,029-CRA,54
9,029-CRA,91
9,029-CRA,48
9,029-CRA,37
9,029-CRA,15
9,029-CRA,15
9,029-CRA,71
9,029-CRA,79
9,029-CRA,80
11,031-CRA,112
11,031-CRA,40
13,034-CRA,34
15,037-CRA,38
25,049-CRA,42
25,049-CRA,15
26,051-CRA,16
36,083-CRA,83
36,083-CRA,145
41,09-079,81
45,11-058,132
45,11-058,129
55,A1SC025,75
56,A2SC031,122
56,A2SC031,40
56,A2SC031,206
58,A2SC043,152
58,A2SC043,148
58,A2SC043,15
58,A2SC043,34
58,A2SC043,93
58,A2SC043,38
58,A2SC043,13
62,A2SC59,45
63,A3SC066,35
64,A3SC089,44
66,A3SC72,75
68,A3SC78,107
68,A3SC78,105
68,A3SC78,79
68,A3SC78,51
68,A3SC78,38
68,A3SC78,39
68,A3SC78,16
68,A3SC78,79
68,A3SC78,83
68,A3SC78,37
77,A4SC118,32
81,A5SC149,30
82,B1SC153,106
82,B1SC153,22
89,B2SC183,128
90,B2SC184,111
90,B2SC184,13.7
90,B2SC184,21
91,B2SC186,5.9
93,B2SC189,37
93,B2SC189,80
93,B2SC189,16
99,B3SC216,113
100,B3SC221,32
103,B3SC235,153
103,B3SC235,14
103,B3SC235,112
103,B3SC235,24
111,B4SC520,153
113,B5SC297,17
113,B5SC297,7.7
113,B5SC297,21
118,C1SC0324,8
121,C2SC338,83
124,C3SC367,13.7
124,C3SC367,73
127,C3SC390,35
127,C3SC390,79
134,C5SC423,6.8
134,C5SC423,18
134,C5SC423,40
137,C5SC434,154
138,C5SC435,28
139,C5SC438,156
139,C5SC438,129
139,C5SC438,29
139,C5SC438,44
139,C5SC438,73
139,C5SC438,19
139,C5SC438,32
139,C5SC438,131
139,C5SC438,32
142,D1SC459,18
143,D1SC461,13
147,D3SC525,75
149,D3SC532,18
151,D4SC551,110
151,D4SC551,13.1
160,E2SC634,129
160,E2SC634,139
160,E2SC634,77
169,JI-133,113
170,JI-178,15
170,JI-178,116
171,JI-21,32
173,JI-3562,2.4
174,JI-4883,123
174,JI-4883,92
174,JI-4883,15
176,JI-4892,22
182,JI-4946,16
188,JI-4985,28
188,JI-4985,7
188,JI-4985,5
188,JI-4985,34
190,JI-5022,85
190,JI-5022,32
190,JI-5022,81
190,JI-5022,81
203,JI-6476,19
205,JIKEI-47F,108
205,JIKEI-47F,125
205,JIKEI-47F,14.3
205,JIKEI-47F,6.3
205,JIKEI-47F,5
205,JIKEI-47F,8
211,KU-1116,82
211,KU-1116,117
211,KU-1116,83
211,KU-1116,40
211,KU-1116,13
212,KU-1118,3
213,KU-1120,16
216,KU-1265,153
219,KU-1301,80
221,KU-1388,5
221,KU-1388,32
223,KU-1415,18
225,KU-1421,30
226,KU-1446,92
228,KU-1562,15
234,KU-2133,5
237,KU-2181,98
237,KU-2181,92
237,KU-2181,93
237,KU-2181,34
237,KU-2181,92
246,KU-2594,118
249,KU-2627,5
250,KU-2636,15
260,KU-2941,5
261,KU-2945,5
262,KU-2958,81
262,KU-2958,79
281,KU-907,40
286,T74-221,28
294,T75-353,63
294,T75-353,74
296,T75-362,5
300,T75-387,140
300,T75-387,17
313,T76-677,21
314,T76-714,109
325,T77-438,28
343,T78-220,116
350,T78-264,32
352,T78-280,74
359,T78-48,76
362,T79-112,109
366,T79-164,14
372,T79-27,90
373,T79-28,2
375,T79-288,156
375,T79-288,15
378,T79-311,124
381,T79-92,5.7
381,T79-92,15
387,T81-293,5
515,Tohoku-1063,111
515,Tohoku-1063,93
515,Tohoku-1063,81
515,Tohoku-1063,82
517,Tohoku-1082,80
520,Tohoku-1199,18
520,Tohoku-1199,19
521,Tohoku-1203,2.8
521,Tohoku-1203,17
524,Tohoku-1299,100
524,Tohoku-1299,90
528,Tohoku-1475,45
535,Tohoku-2088,81
536,Tohoku-235,80
536,Tohoku-235,53
536,Tohoku-235,40
536,Tohoku-235,96
536,Tohoku-235,40
536,Tohoku-235,80
536,Tohoku-235,37
537,Tohoku-2480,80
537,Tohoku-2480,15
541,Tohoku-2544,4
541,Tohoku-2544,3
543,Tohoku-2748,92
546,Tohoku-302,124
550,Tohoku-3264,20
553,Tohoku-3278,88
555,Tohoku-3290,38
556,Tohoku-3296,17
563,Tohoku-3345,5
563,Tohoku-3345,93
566,Tohoku-3375,13.7
567,Tohoku-3466,21
570,Tohoku-395,111
570,Tohoku-395,95
574,Tohoku-453,93
576,Tohoku-478,83
576,Tohoku-478,50
577,Tohoku-481,113
578,Tohoku-484,73
580,Tohoku-508,106
580,Tohoku-508,104
580,Tohoku-508,80
580,Tohoku-508,50
580,Tohoku-508,39
580,Tohoku-508,90
580,Tohoku-508,19
580,Tohoku-508,40
580,Tohoku-508,17
580,Tohoku-508,14
580,Tohoku-508,74
580,Tohoku-508,78
580,Tohoku-508,79
580,Tohoku-508,6
581,Tohoku-522,78
582,Tohoku-553,83
582,Tohoku-553,110
582,Tohoku-553,78
582,Tohoku-553,55
582,Tohoku-553,41
582,Tohoku-553,17
583,Tohoku-569,25
589,Tohoku-965,90
391,TU-1334,109
396,TU-1342,100
402,TU-1360,113
404,TU-1367,111
404,TU-1367,45
405,TU-1369,109
405,TU-1369,5.9
410,TU-1432,110
412,TU-1443,36
412,TU-1443,22
412,TU-1443,17
412,TU-1443,48
412,TU-1443,66
417,TU-1457,115
417,TU-1457,121
417,TU-1457,116
417,TU-1457,118
423,TU-1471,115
423,TU-1471,113
429,TU-1831,119
432,TU-1849,15
432,TU-1849,1.7
432,TU-1849,19
433,TU-1868,21
433,TU-1868,16
434,TU-1871,21
434,TU-1871,39
439,TU-2063,15
443,TU-207,34
448,TU-2081,39
448,TU-2081,5
449,TU-2084,38
452,TU-2101,103
452,TU-2101,89
452,TU-2101,83
452,TU-2101,95
452,TU-2101,33
468,TU-2139,36
474,TU-2188,114
475,TU-220,28
475,TU-220,13
476,TU-2218,16
476,TU-2218,6.1
476,TU-2218,109
476,TU-2218,26
476,TU-2218,18
478,TU-227,45
482,TU-2409,110
484,TU-2440,21
484,TU-2440,34
487,TU-2544,6.1
491,TU-2551,113
492,TU-2556,121
493,TU-2557,28
499,TU-271,15
505,TU-37,7.1
506,TU-39,6.5
510,TU-49,199
510,TU-49,197
510,TU-49,21
